stop_id,stop_code,stop_name,tts_stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
484,83484,Arnold Industrial Way + Concord Adult Homeless Shelter,Arnold Industrial Way and Concord Adult Homeless Shelter,38.0069,-122.0372,0,,0
480,83480,Arnold Industrial Way + Industrial Way,Arnold Industrial Way and Industrial Way,38.008766,-122.032547,0,,0
479,83479,Arnold Industrial Way + Industrial Way,Arnold Industrial Way and Industrial Way,38.009044,-122.031975,0,,0
481,83481,Arnold Industrial Way + Peralta Rd,Arnold Industrial Way and  Peralta Road,38.00287,-122.047414,0,,0
1283,831283,Arnold Dr + Glacier Dr,Arnold Drive and Glacier Drive,37.991691,-122.08673,0,,0
1284,831284,Arnold Dr + Milano Way,Arnold Drive and Milano Way,37.991698,-122.087187,0,,0
1287,831287,Arnold Dr + Muir Parkway Offices,Arnold Drive and Muir Parkway Offices,37.992883,-122.098532,0,,0
1280,831280,Arnold Dr + Muir Parkway Offices,Arnold Drive and Muir Parkway Offices,37.991595,-122.097837,0,,0
1710,831710,Bancroft Rd + Gil Port Ln,Bancroft Road and Gil Port Lane,37.93035,-122.043299,0,,1
1711,831711,Bancroft Rd + Faith Christian Fellowship,Bancroft Road and Faith Christian Fellowship,37.932316,-122.045105,0,,1
1714,831714,Bancroft Rd + Countrywood Ct,Bancroft Road and Countrywood Court,37.930202,-122.043526,0,,1
1712,831712,Bancroft Rd + Minert Rd,Bancroft Road and Minert Road,37.93374,-122.046477,0,,1
1713,831713,Bancroft Rd + Minert Rd,Bancroft Road and Minert Road,37.933591,-122.046675,0,,1
2193,832193,Antioch BART,Antioch BART,37.995636,-121.778125,0,,1
492,83492,Bates Ave + Port Chicago Hwy,Bates Avenue and Port Chicago Highway,38.015138,-122.025954,0,,1
497,83497,Bates Ave + Folsom Ct,Bates Avenue and Folsom Court,38.014181,-122.031635,0,,1
2251,832251,Bates Ave + Commercial Cir,Bates Avenue and Commercial Circle,38.014259,-122.031516,0,,1
883,83883,Concord BART,Concord BART,37.972663,-122.029838,0,S1,1
892,83892,Concord BART,Concord BART,37.973846,-122.029374,0,S1,1
893,83893,Concord BART,Concord BART,37.974155,-122.02929,0,S1,1
894,83894,Concord BART,Concord BART,37.9743,-122.02921,0,S1,1
895,83895,Concord BART,Concord BART,37.97456,-122.02921,0,S1,1
885,83885,Concord BART,Concord BART,37.973259,-122.029686,0,S1,1
886,83886,Concord BART,Concord BART,37.97346,-122.029589,0,S1,1
888,83888,Concord BART,Concord BART,37.974111,-122.029132,0,S1,1
889,83889,Concord BART,Concord BART,37.97428,-122.02911,0,S1,1
890,83890,Concord BART,Concord BART,37.974536,-122.029068,0,S1,1
S1,S1,Concord BART,Concord BART,37.973646,-122.029524,1,,1
2158,832158,Dublin Pleasanton BART Unloading,Dublin Pleasanton BART Unloading ,37.701623,-121.89803,0,,1
1160,831160,Dublin Pleasanton BART,Dublin Pleasanton BART,37.702901,-121.89944,0,S2,1
2140,832140,Dublin Pleasanton BART,Dublin Pleasanton BART,37.703045,-121.899819,0,S2,1
S2,S2,Dublin Pleasanton BART,Dublin Pleasanton BART,37.702643,-121.899066,1,,1
2067,832067,Berrellesa St + Marina Vista Ave And Escobar St,Berrellesa Street between Marina Vista Avenue and Escobar Street,38.016708,-122.139659,0,,1
1290,831290,Berrellesa St + Jones St,Berrellesa Street and Jones Street,38.011885,-122.13495,0,,1
1289,831289,Berrellesa St + Mellus St,Berrellesa Street and Mellus Street,38.013881,-122.136897,0,,1
1291,831291,Berrellesa St + Robinson St,Berrellesa Street and Robinson Street,38.01004,-122.133202,0,,1
1292,831292,Berrellesa St + Soto St,Berrellesa Street and Soto Street,38.00808,-122.131374,0,,1
1554,831554,Bishop Ranch 2600,Bishop Ranch Twenty Six Hundred,37.766574,-121.963341,0,,1
1555,831555,Bishop Ranch 15,Bishop Ranch Fifteen,37.773609,-121.960892,0,,1
2257,832257,Bishop Ranch 1,Bishop Ranch One,37.760049,-121.955669,0,,1
1553,831553,Bishop Ranch 8,Bishop Ranch Eight,37.768118,-121.968502,0,,1
1162,831162,Lafayette BART,Lafayette BART,37.893571,-122.125128,0,,1
2288,832288,North Concord BART Unloading,North Concord BART Unloading,38.002858,-122.024113,0,,1
896,83896,North Concord Martinez BART,North Concord Martinez BART,38.00241,-122.024216,0,S3,1
897,83897,North Concord Martinez BART,North Concord Martinez BART,38.00225,-122.024201,0,S3,1
S3,S3,North Concord Martinez BART,North Concord Martinez BART,38.002694,-122.024608,1,,1
2032,832032,Bollinger Canyon Rd + Albion Rd,Bollinger Canyon Road and Albion Road,37.76714,-121.9055,0,,1
2003,832003,Bollinger Canyon Rd + Alcosta Blvd,Bollinger Canyon Road and Alcosta Boulevard,37.76559,-121.952489,0,,1
1591,831591,Bollinger Canyon Rd + Andora Ln,Bollinger Canyon Road and Andora Lane,37.759518,-121.977364,0,,1
1581,831581,Bollinger Canyon Rd + Anza Ct,Bollinger Canyon Road and Anza Court,37.76972,-121.993655,0,,1
