timetable_id,route_id,direction_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday,timetable_label,service_notes,orientation,timetable_page_id,timetable_sequence,direction_name,show_continues_as
65,21,1,20181118,20190309,0,0,0,0,0,1,1,,,vertical,311,1,,0
66,22,0,20181118,20190309,0,0,0,0,0,1,1,,,vertical,314,0,,1
67,22,1,20181118,20190309,0,0,0,0,0,1,1,,,vertical,314,1,,1
68,23,0,20181118,20190309,0,0,0,0,0,1,1,,,vertical,315,0,,1
69,23,1,20181118,20190309,0,0,0,0,0,1,1,,,vertical,315,1,,0
70,24,0,20181118,20190309,0,0,0,0,0,1,1,,,vertical,316,0,,0
71,24,1,20181118,20190309,0,0,0,0,0,1,1,,,vertical,316,1,,0
72,25,0,20181118,20190309,0,0,0,0,0,1,1,,,vertical,320,0,,0
73,25,1,20181118,20190309,0,0,0,0,0,1,1,,,vertical,320,1,,1
74,26,0,20181118,20190309,0,0,0,0,0,1,1,,,vertical,321,0,,0
75,26,1,20181118,20190309,0,0,0,0,0,1,1,,,vertical,321,1,,0
