route_id,category,subcategory,running_way
1,3,301,5
4,3,301,5
5,3,301,5
6,3,301,5
7,3,302,5
9,3,301,5
10,3,301,5
11,3,301,5
14,3,301,5
15,3,301,5
16,3,301,5
17,3,301,5
18,3,301,5
19,3,301,5
20,3,301,5
21,3,301,5
28,3,301,5
35,3,301,5
310,4,401,5
311,4,401,5
314,4,401,5
315,4,401,5
316,4,401,5
320,4,401,5
321,4,401,5
335,4,401,5
91X,3,302,5
92X,2,202,5
93X,2,202,5
95X,2,202,5
96X,2,201,5
97X,2,202,5
98X,3,301,5
99X,3,302,5
